source	filename	[("F", 19)]	[("M", 35), ("F", 18), ("M", 23), ("F", 19), ("M", 30), ("M", 17)]	[("F", 18), ("M", 23), ("F", 19), ("M", 30), ("M", 17)]	[("F", 18), ("M", 23), ("F", 19), ("M", 30)]	[("M", 23), ("F", 19), ("M", 30)]	[]
instructor	refsol.py	[('F', 19)]	[('M', 35), ('M', 30), ('M', 23), ('F', 19), ('F', 18), ('M', 17)]	[('M', 30), ('M', 23), ('F', 19), ('F', 18), ('M', 17)]	[('M', 30), ('M', 23), ('F', 19), ('F', 18)]	[('M', 30), ('M', 23), ('F', 19)]	[]
gpt	1693174464_0.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174464_2.py	pass	[('M', 35), ('F', 18), ('M', 23), ('F', 19), ('M', 30), ('M', 17)]	[('F', 18), ('M', 23), ('F', 19), ('M', 30), ('M', 17)]	[('F', 18), ('M', 23), ('F', 19), ('M', 30)]	[('M', 23), ('F', 19), ('M', 30)]	pass
gpt	1693174471_0.py	None	None	None	None	None	None
gpt	1693174471_1.py	None	None	None	None	None	None
gpt	1693174471_3.py	pass	[('M', 35), ('M', 23), ('M', 30), ('M', 17), ('F', 18), ('F', 19)]	[('M', 23), ('M', 30), ('M', 17), ('F', 18), ('F', 19)]	[('M', 23), ('M', 30), ('F', 18), ('F', 19)]	[('M', 23), ('M', 30), ('F', 19)]	pass
gpt	1693174476_0.py	pass	[('F', 18), ('F', 19), ('M', 35), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174476_2.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174480_2.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174480_3.py	pass	[('F', 18), ('F', 19), ('M', 35), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174480_4.py	pass	[('M', 17), ('M', 30), ('M', 23), ('M', 35), ('F', 19), ('F', 18)]	[('M', 17), ('M', 30), ('M', 23), ('F', 19), ('F', 18)]	pass	pass	pass
gpt	1693174484_2.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174484_3.py	pass	[('M', 17), ('M', 30), ('F', 19), ('M', 23), ('F', 18), ('M', 35)]	[('M', 17), ('M', 30), ('F', 19), ('M', 23), ('F', 18)]	[('M', 30), ('F', 19), ('M', 23), ('F', 18)]	[('M', 30), ('F', 19), ('M', 23)]	pass
gpt	1693174494_1.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174494_3.py	pass	[('M', 35), ('M', 30), ('M', 23), ('M', 17), ('F', 19), ('F', 18)]	[('M', 30), ('M', 23), ('M', 17), ('F', 19), ('F', 18)]	pass	pass	pass
gpt	1693174498_3.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174502_0.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174502_1.py	pass	[('F', 18), ('F', 19), ('M', 35), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174502_2.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174502_3.py	<class 'IndexError'> tuple index out of range	<class 'IndexError'> tuple index out of range	<class 'IndexError'> tuple index out of range	<class 'IndexError'> tuple index out of range	<class 'IndexError'> tuple index out of range	pass
gpt	1693174502_4.py	pass	[('F', 18), ('F', 19), ('M', 35), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 17)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174502_5.py	pass	[('F', 18), ('F', 19), ('M', 17), ('M', 23), ('M', 30), ('M', 35)]	[('F', 18), ('F', 19), ('M', 17), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174502_6.py	None	None	None	None	None	None
gpt	1693174507_0.py	None	None	None	None	None	None
gpt	1693174507_2.py	pass	[('M', 35), ('M', 30), ('M', 23), ('M', 17), ('F', 19), ('F', 18)]	[('M', 30), ('M', 23), ('M', 17), ('F', 19), ('F', 18)]	pass	pass	pass
gpt	1693174510_3.py	pass	[('M', 35), ('M', 30), ('M', 23), ('M', 17), ('F', 19), ('F', 18)]	[('M', 30), ('M', 23), ('M', 17), ('F', 19), ('F', 18)]	pass	pass	pass
gpt	1693174520_0.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174523_2.py	pass	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30), ('M', 35)]	[('M', 17), ('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 18), ('F', 19), ('M', 23), ('M', 30)]	[('F', 19), ('M', 23), ('M', 30)]	pass
gpt	1693174523_4.py	pass	[('M', 17), ('M', 30), ('M', 23), ('M', 35), ('F', 19), ('F', 18)]	[('M', 17), ('M', 30), ('M', 23), ('F', 19), ('F', 18)]	pass	pass	pass
